nom_complet,siren,siret,tranche_effectif_salarie,activite_principale,activite_principale_naf25,ancien_siege,annee_tranche_effectif_salarie,adresse,code_postal,commune,date_creation,date_debut_activite,date_fermeture,etat_administratif,latitude,longitude
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,64.31Y,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,64.31Y,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,64.31Y,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,64.31Y,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,64.31Y,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,65.2E,,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,65.2E,,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,,True,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,,False,394895833,,,,1994-04-28,,,A,,
BNP PARIBAS FINANCIAL MARKETS,394895833,,41,64.30Z,,False,394895833,,,,1994-04-28,,,A,,
