2026-06-04 10:54:12,003 | DEBUG    | transform.py:187 | Le fichier bronze boldys.ai-2026-06-03 est vide....
2026-06-04 10:54:12,003 | DEBUG    | transform.py:190 | Le fichier bronze bomzai-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,003 | DEBUG    | transform.py:190 | Le fichier bronze bomzai-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,007 | DEBUG    | transform.py:190 | Le fichier bronze bonnard-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,007 | DEBUG    | transform.py:190 | Le fichier bronze bonnard-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,009 | DEBUG    | transform.py:190 | Le fichier bronze boston_consulting_group_(bcg)-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,009 | DEBUG    | transform.py:190 | Le fichier bronze boston_consulting_group_(bcg)-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze btc_-_bekka_tech_club-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze btc_-_bekka_tech_club-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze builder_créatif-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze builder_créatif-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze bureau_singuliere.-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze bureau_singuliere.-2026-06-03 est vide....
2026-06-04 10:54:12,013 | DEBUG    | transform.py:190 | Le fichier bronze butine_groupe-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,013 | DEBUG    | transform.py:190 | Le fichier bronze butine_groupe-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,016 | DEBUG    | transform.py:190 | Le fichier bronze café_crème-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,016 | DEBUG    | transform.py:190 | Le fichier bronze café_crème-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze café_crème_club-2026-06-03 est vide....
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze café_crème_club-2026-06-03 est vide....
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze carecrutement-2026-06-03 est vide....
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze carecrutement-2026-06-03 est vide....
2026-06-04 10:54:12,020 | DEBUG    | transform.py:190 | Le fichier bronze casa_loc'_&_design-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,020 | DEBUG    | transform.py:190 | Le fichier bronze casa_loc'_&_design-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,023 | DEBUG    | transform.py:190 | Le fichier bronze catalina_france-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,023 | DEBUG    | transform.py:190 | Le fichier bronze catalina_france-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,026 | DEBUG    | transform.py:187 | Le fichier bronze celeri_lab-2026-06-03 est vide....
2026-06-04 10:54:12,026 | DEBUG    | transform.py:187 | Le fichier bronze celeri_lab-2026-06-03 est vide....
2026-06-04 10:54:12,026 | DEBUG    | transform.py:190 | Le fichier bronze celesta-lab-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,026 | DEBUG    | transform.py:190 | Le fichier bronze celesta-lab-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,028 | DEBUG    | transform.py:187 | Le fichier bronze cfa_numia-2026-06-03 est vide....
2026-06-04 10:54:12,028 | DEBUG    | transform.py:187 | Le fichier bronze cfa_numia-2026-06-03 est vide....
2026-06-04 10:54:12,029 | DEBUG    | transform.py:190 | Le fichier bronze cgi-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,029 | DEBUG    | transform.py:190 | Le fichier bronze cgi-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,033 | DEBUG    | transform.py:190 | Le fichier bronze chaabi_bank-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,033 | DEBUG    | transform.py:190 | Le fichier bronze chaabi_bank-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,037 | DEBUG    | transform.py:190 | Le fichier bronze charts-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,037 | DEBUG    | transform.py:190 | Le fichier bronze charts-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,039 | DEBUG    | transform.py:190 | Le fichier bronze chilah_&_associes-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,039 | DEBUG    | transform.py:190 | Le fichier bronze chilah_&_associes-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,043 | DEBUG    | transform.py:190 | Le fichier bronze cible&co-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,043 | DEBUG    | transform.py:190 | Le fichier bronze cible&co-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,046 | DEBUG    | transform.py:190 | Le fichier bronze ciwara_capital-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,046 | DEBUG    | transform.py:190 | Le fichier bronze ciwara_capital-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,049 | DEBUG    | transform.py:190 | Le fichier bronze clean_horizon-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,049 | DEBUG    | transform.py:190 | Le fichier bronze clean_horizon-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,053 | DEBUG    | transform.py:190 | Le fichier bronze cleyrop-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,053 | DEBUG    | transform.py:190 | Le fichier bronze cleyrop-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,056 | DEBUG    | transform.py:187 | Le fichier bronze clickway_-_l'agence_web_&_landing_page_conçue_pour_convertir-2026-06-03 est vide....
2026-06-04 10:54:12,056 | DEBUG    | transform.py:187 | Le fichier bronze clickway_-_l'agence_web_&_landing_page_conçue_pour_convertir-2026-06-03 est vide....
2026-06-04 10:54:12,056 | DEBUG    | transform.py:190 | Le fichier bronze climateseed-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,056 | DEBUG    | transform.py:190 | Le fichier bronze climateseed-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,059 | DEBUG    | transform.py:190 | Le fichier bronze clouddev_fusion-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,059 | DEBUG    | transform.py:190 | Le fichier bronze clouddev_fusion-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,063 | DEBUG    | transform.py:190 | Le fichier bronze cloud_temple-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,063 | DEBUG    | transform.py:190 | Le fichier bronze cloud_temple-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,066 | DEBUG    | transform.py:190 | Le fichier bronze coachr_football-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,066 | DEBUG    | transform.py:190 | Le fichier bronze coachr_football-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,069 | DEBUG    | transform.py:190 | Le fichier bronze cocoding-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,069 | DEBUG    | transform.py:190 | Le fichier bronze cocoding-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,071 | DEBUG    | transform.py:187 | Le fichier bronze compile42-2026-06-03 est vide....
2026-06-04 10:54:12,071 | DEBUG    | transform.py:187 | Le fichier bronze compile42-2026-06-03 est vide....
2026-06-04 10:54:12,073 | DEBUG    | transform.py:190 | Le fichier bronze confidentiel-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,073 | DEBUG    | transform.py:190 | Le fichier bronze confidentiel-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,077 | DEBUG    | transform.py:190 | Le fichier bronze conserto-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,077 | DEBUG    | transform.py:190 | Le fichier bronze conserto-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,080 | DEBUG    | transform.py:190 | Le fichier bronze cooptis-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,080 | DEBUG    | transform.py:190 | Le fichier bronze cooptis-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,083 | DEBUG    | transform.py:190 | Le fichier bronze cortexa-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,083 | DEBUG    | transform.py:190 | Le fichier bronze cortexa-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,086 | DEBUG    | transform.py:190 | Le fichier bronze courtee-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,086 | DEBUG    | transform.py:190 | Le fichier bronze courtee-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,089 | DEBUG    | transform.py:187 | Le fichier bronze cycy_ink-2026-06-03 est vide....
2026-06-04 10:54:12,089 | DEBUG    | transform.py:187 | Le fichier bronze cycy_ink-2026-06-03 est vide....
2026-06-04 10:54:12,089 | DEBUG    | transform.py:190 | Le fichier bronze cygna-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,089 | DEBUG    | transform.py:190 | Le fichier bronze cygna-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,093 | DEBUG    | transform.py:190 | Le fichier bronze dabchy-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,093 | DEBUG    | transform.py:190 | Le fichier bronze dabchy-2026-06-03 est non vide, extraction des datas...
